hello,hello2,phase,millis
1760023147374,theboxer000,start_to_first,300
1760023147575,theboxer000,first_to_second,202
1760023153075,theboxer000,start_to_first,248
1760023153227,theboxer000,first_to_second,153
1760023157568,theboxer000,start_to_first,251
1760023162818,theboxer000,start_to_first,254
1760023163018,theboxer000,first_to_second,199
1760023167125,theboxer000,start_to_first,253
1760023167328,theboxer000,first_to_second,203
1760023172717,theboxer000,start_to_first,288
1760023172929,theboxer000,first_to_second,211
1760023175865,theboxer000,start_to_first,438
1760023176017,theboxer000,first_to_second,152
1760023181118,theboxer000,start_to_first,101
1760023185365,theboxer000,start_to_first,234
1760023204467,theboxer000,start_to_first,254
1760023204669,theboxer000,first_to_second,202
1760023210526,theboxer000,start_to_first,303
1760023210727,theboxer000,first_to_second,201
1760023213815,theboxer000,start_to_first,147
1760023214019,theboxer000,first_to_second,204
1760023218077,theboxer000,start_to_first,304
1760023218278,theboxer000,first_to_second,200
1760023223277,theboxer000,start_to_first,402
1760023223478,theboxer000,first_to_second,201
1760023227726,theboxer000,start_to_first,301
1760023237763,theboxer000,start_to_first,286
1760023237914,theboxer000,first_to_second,151
1760023242415,theboxer000,start_to_first,302
1760023242571,theboxer000,first_to_second,153
1760023248525,theboxer000,start_to_first,253
1760023248728,theboxer000,first_to_second,202
1760023252473,theboxer000,start_to_first,352
1760023252674,theboxer000,first_to_second,201
1760023256872,theboxer000,start_to_first,305
1760023257072,theboxer000,first_to_second,200
1760023259977,theboxer000,start_to_first,251
1760023270869,theboxer000,start_to_first,250
1760023271069,theboxer000,first_to_second,200
1760023276767,theboxer000,start_to_first,289
1760023276967,theboxer000,first_to_second,201
1760023283073,theboxer000,start_to_first,302
1760023283226,theboxer000,first_to_second,152
1760023286768,theboxer000,start_to_first,301
1760023286969,theboxer000,first_to_second,200
1760023292668,theboxer000,start_to_first,287
1760023292869,theboxer000,first_to_second,201
1760023297025,theboxer000,start_to_first,251
1760023297225,theboxer000,first_to_second,200
1760023302376,theboxer000,first_to_second,201
1760023306274,theboxer000,start_to_first,306
1760023306473,theboxer000,first_to_second,199
1760023310918,theboxer000,start_to_first,302
1760023332329,theboxer000,start_to_first,306
1760023332479,theboxer000,first_to_second,150
1760023336864,theboxer000,start_to_first,442
1760023342525,theboxer000,start_to_first,52
1760023342727,theboxer000,first_to_second,202
1760023348568,theboxer000,start_to_first,203
1760023348769,theboxer000,first_to_second,202
1760023353576,theboxer000,start_to_first,100
1760023353727,theboxer000,first_to_second,152
1760023359225,theboxer000,start_to_first,300
1760023359376,theboxer000,first_to_second,151
1760023364368,theboxer000,start_to_first,254
1760023364572,theboxer000,first_to_second,204
1760023368575,theboxer000,start_to_first,252
1760023368776,theboxer000,first_to_second,200
1760023372278,theboxer000,start_to_first,402
1760023372462,theboxer000,first_to_second,185
1760023382421,theboxer000,start_to_first,303
1760023382623,theboxer000,first_to_second,202
1760023388277,theboxer000,start_to_first,351
1760023388428,theboxer000,first_to_second,152
1760023393571,theboxer000,start_to_first,255
1760023393772,theboxer000,first_to_second,200
1760023396973,theboxer000,start_to_first,254
1760023397125,theboxer000,first_to_second,152
1760023400664,theboxer000,start_to_first,50
1760023400815,theboxer000,first_to_second,151
1760023405221,theboxer000,start_to_first,350
