hello,hello2,phase,millis
1760027938876,theboxer000,first_to_second,205
1760027944218,theboxer000,start_to_first,151
1760027944369,theboxer000,first_to_second,151
1760027947923,theboxer000,start_to_first,162
1760027948127,theboxer000,first_to_second,204
1760027953220,theboxer000,start_to_first,103
1760027958176,theboxer000,start_to_first,304
1760027958329,theboxer000,first_to_second,154
1760027962220,theboxer000,start_to_first,253
1760027962420,theboxer000,first_to_second,200
1760027966127,theboxer000,start_to_first,52
1760027966329,theboxer000,first_to_second,202
1760027971280,theboxer000,start_to_first,301
1760027971464,theboxer000,first_to_second,184
1760027974213,theboxer000,start_to_first,299
1760027974416,theboxer000,first_to_second,203
1760027979968,theboxer000,start_to_first,203
1760027980169,theboxer000,first_to_second,200
1760027984726,theboxer000,start_to_first,204
1760027984927,theboxer000,first_to_second,201
1760027990165,theboxer000,start_to_first,252
1760027990317,theboxer000,first_to_second,152
1760027993665,theboxer000,start_to_first,286
1760027993870,theboxer000,first_to_second,205
1760027999528,theboxer000,start_to_first,301
1760028004471,theboxer000,start_to_first,304
1760028004625,theboxer000,first_to_second,153
1760028007672,theboxer000,start_to_first,204
1760028007874,theboxer000,first_to_second,202
1760028013427,theboxer000,start_to_first,354
1760028013616,theboxer000,first_to_second,188
1760028018625,theboxer000,start_to_first,252
1760028018828,theboxer000,first_to_second,203
1760028024369,theboxer000,start_to_first,252
1760028024572,theboxer000,first_to_second,203
1760028030219,theboxer000,start_to_first,304
1760028030420,theboxer000,first_to_second,201
1760028034924,theboxer000,start_to_first,202
1760028045218,theboxer000,start_to_first,345
1760028045367,theboxer000,first_to_second,150
1760028048780,theboxer000,start_to_first,305
1760028053120,theboxer000,start_to_first,253
1760028053322,theboxer000,first_to_second,202
1760028057080,theboxer000,start_to_first,298
1760028057279,theboxer000,first_to_second,199
1760028065480,theboxer000,start_to_first,305
1760028065666,theboxer000,first_to_second,186
1760028071376,theboxer000,start_to_first,251
1760028071577,theboxer000,first_to_second,201
1760028076076,theboxer000,first_to_second,198
1760028080981,theboxer000,start_to_first,254
1760028081170,theboxer000,first_to_second,190
1760028126319,theboxer000,start_to_first,251
1760028131765,theboxer000,start_to_first,201
1760028131974,theboxer000,first_to_second,209
1760028138024,theboxer000,start_to_first,355
1760028138174,theboxer000,first_to_second,150
1760028143825,theboxer000,start_to_first,102
1760028144027,theboxer000,first_to_second,202
1760028149922,theboxer000,start_to_first,252
1760028150121,theboxer000,first_to_second,200
1760028169669,theboxer000,start_to_first,203
1760028169820,theboxer000,first_to_second,151
1760028174221,theboxer000,start_to_first,241
1760028174435,theboxer000,first_to_second,213
1760028178326,theboxer000,start_to_first,154
1760028178531,theboxer000,first_to_second,205
1760028183166,theboxer000,start_to_first,302
1760028183368,theboxer000,first_to_second,202
1760028186370,theboxer000,start_to_first,203
1760028186573,theboxer000,first_to_second,203
1760028200525,theboxer000,start_to_first,152
1760028200730,theboxer000,first_to_second,204
1760028204677,theboxer000,start_to_first,202
1760028209665,theboxer000,start_to_first,188
1760028209865,theboxer000,first_to_second,200
1760028215269,theboxer000,start_to_first,251
1760028215471,theboxer000,first_to_second,202
1760028220325,theboxer000,start_to_first,254
1760028220524,theboxer000,first_to_second,199
1760028224320,theboxer000,start_to_first,202
1760028224520,theboxer000,first_to_second,200
1760028229127,theboxer000,start_to_first,304
1760028229279,theboxer000,first_to_second,152
1760028232066,theboxer000,start_to_first,353
1760028232215,theboxer000,first_to_second,149
1760028236319,theboxer000,start_to_first,303
1760028236526,theboxer000,first_to_second,207
1760028239964,theboxer000,start_to_first,284
1760028240167,theboxer000,first_to_second,204
1760028244425,theboxer000,start_to_first,305
1760028244626,theboxer000,first_to_second,201
1760028250468,theboxer000,start_to_first,305
1760028250670,theboxer000,first_to_second,202
1760028254521,theboxer000,start_to_first,102
1760028254726,theboxer000,first_to_second,205
1760028259917,theboxer000,start_to_first,302
1760028266081,theboxer000,start_to_first,252
1760028266265,theboxer000,first_to_second,184
1760028270729,theboxer000,start_to_first,101
1760028270914,theboxer000,first_to_second,185
1760028276379,theboxer000,start_to_first,51
1760028276614,theboxer000,first_to_second,235
1760028280023,theboxer000,start_to_first,201
1760028280175,theboxer000,first_to_second,152
1760028283468,theboxer000,start_to_first,303
1760028283674,theboxer000,first_to_second,205
1760028287322,theboxer000,start_to_first,257
1760028287471,theboxer000,first_to_second,149
1760028293273,theboxer000,start_to_first,200
1760028293425,theboxer000,first_to_second,152
1760028296676,theboxer000,start_to_first,207
1760028301777,theboxer000,start_to_first,255
1760028301927,theboxer000,first_to_second,150
1760028306525,theboxer000,start_to_first,302
1760028306728,theboxer000,first_to_second,203
1760028312420,theboxer000,start_to_first,354
1760028312623,theboxer000,first_to_second,202
1760028317716,theboxer000,start_to_first,297
1760028317919,theboxer000,first_to_second,203
1760028322974,theboxer000,start_to_first,152
1760028323125,theboxer000,first_to_second,151
1760028330965,theboxer000,start_to_first,337
1760028331115,theboxer000,first_to_second,150
1760028336716,theboxer000,start_to_first,240
1760028342179,theboxer000,start_to_first,249
1760028342385,theboxer000,first_to_second,206
1760028346423,theboxer000,start_to_first,150
1760028346576,theboxer000,first_to_second,152
1760028352415,theboxer000,start_to_first,234
1760028352618,theboxer000,first_to_second,203
1760028356371,theboxer000,start_to_first,298
1760028356521,theboxer000,first_to_second,150
1760028383677,theboxer000,start_to_first,352
1760028383827,theboxer000,first_to_second,150
1760028389166,theboxer000,start_to_first,252
1760028389320,theboxer000,first_to_second,154
1760028394229,theboxer000,start_to_first,254
1760028394429,theboxer000,first_to_second,200
1760028397577,theboxer000,start_to_first,250
1760028397779,theboxer000,first_to_second,202
1760028410127,theboxer000,start_to_first,254
1760028410330,theboxer000,first_to_second,203
1760028415825,theboxer000,start_to_first,354
1760028415975,theboxer000,first_to_second,150
1760028420463,theboxer000,start_to_first,136
1760028420666,theboxer000,first_to_second,203
1760028423770,theboxer000,start_to_first,254
1760028423923,theboxer000,first_to_second,153
1760028428573,theboxer000,start_to_first,250
1760028432665,theboxer000,start_to_first,302
1760028432865,theboxer000,first_to_second,200
1760028436175,theboxer000,start_to_first,152
1760028436377,theboxer000,first_to_second,202
1760028440478,theboxer000,start_to_first,251
1760028440681,theboxer000,first_to_second,203
1760028443468,theboxer000,start_to_first,340
1760028443618,theboxer000,first_to_second,150
1760028450218,theboxer000,start_to_first,251
1760028450419,theboxer000,first_to_second,201
1760028454216,theboxer000,start_to_first,300
1760028454418,theboxer000,first_to_second,202
1760028458918,theboxer000,start_to_first,252
1760028459120,theboxer000,first_to_second,202
1760028464767,theboxer000,start_to_first,253
1760028464970,theboxer000,first_to_second,203
1760028470525,theboxer000,start_to_first,152
1760028470675,theboxer000,first_to_second,150
1760028474569,theboxer000,start_to_first,301
1760028474772,theboxer000,first_to_second,203
1760028479478,theboxer000,start_to_first,303
1760028479629,theboxer000,first_to_second,151
1760028485319,theboxer000,start_to_first,202
1760028485522,theboxer000,first_to_second,203
1760028488821,theboxer000,start_to_first,254
1760028489023,theboxer000,first_to_second,203
1760028494576,theboxer000,start_to_first,250
1760028494777,theboxer000,first_to_second,201
1760028499978,theboxer000,start_to_first,351
1760028500129,theboxer000,first_to_second,152
1760028505422,theboxer000,start_to_first,251
1760028505626,theboxer000,first_to_second,203
1760028508568,theboxer000,start_to_first,350
1760028508719,theboxer000,first_to_second,151
1760028513927,theboxer000,start_to_first,355
1760028514129,theboxer000,first_to_second,203
1760028518027,theboxer000,start_to_first,301
1760028518235,theboxer000,first_to_second,209
1760028522217,theboxer000,start_to_first,290
1760028522367,theboxer000,first_to_second,150
1760028527268,theboxer000,start_to_first,301
1760028527473,theboxer000,first_to_second,205
1760028532477,theboxer000,start_to_first,254
1760028532627,theboxer000,first_to_second,150
1760028536174,theboxer000,start_to_first,154
1760028536376,theboxer000,first_to_second,202
1760028541922,theboxer000,start_to_first,203
1760028542128,theboxer000,first_to_second,206
1760028548019,theboxer000,start_to_first,196
1760028548221,theboxer000,first_to_second,203
1760028551276,theboxer000,start_to_first,351
1760028551427,theboxer000,first_to_second,152
1760028554725,theboxer000,start_to_first,102
1760028559424,theboxer000,start_to_first,304
1760028559632,theboxer000,first_to_second,207
1760028563415,theboxer000,start_to_first,287
1760028563567,theboxer000,first_to_second,152
1760028624764,theboxer000,start_to_first,250
1760028624916,theboxer000,first_to_second,152
1760028629776,theboxer000,start_to_first,353
1760028629927,theboxer000,first_to_second,150
1760028635076,theboxer000,start_to_first,251
1760028635226,theboxer000,first_to_second,151
1760028640527,theboxer000,start_to_first,152
1760028645528,theboxer000,start_to_first,253
1760028645714,theboxer000,first_to_second,186
1760028650025,theboxer000,start_to_first,300
1760028650227,theboxer000,first_to_second,202
1760028654013,theboxer000,start_to_first,386
1760028654166,theboxer000,first_to_second,153
1760028658127,theboxer000,start_to_first,254
1760028658277,theboxer000,first_to_second,150
1760028663128,theboxer000,start_to_first,301
1760028663329,theboxer000,first_to_second,201
1760028667222,theboxer000,start_to_first,290
1760028667427,theboxer000,first_to_second,205
1760028673281,theboxer000,start_to_first,108
1760028673480,theboxer000,first_to_second,199
1760028678743,theboxer000,start_to_first,211
1760028678930,theboxer000,first_to_second,188
1760028682771,theboxer000,start_to_first,241
1760028682972,theboxer000,first_to_second,201
1760028687515,theboxer000,start_to_first,150
1760028687669,theboxer000,first_to_second,153
1760028691069,theboxer000,start_to_first,301
1760028691272,theboxer000,first_to_second,202
1760028696368,theboxer000,start_to_first,101
1760028696571,theboxer000,first_to_second,203
1760028701468,theboxer000,start_to_first,253
1760028701618,theboxer000,first_to_second,150
1760028706126,theboxer000,start_to_first,292
1760028706276,theboxer000,first_to_second,150
1760028711983,theboxer000,start_to_first,255
1760028712167,theboxer000,first_to_second,184
1760028715224,theboxer000,start_to_first,302
1760028721557,theboxer000,start_to_first,323
1760028721677,theboxer000,first_to_second,120
1760028726719,theboxer000,start_to_first,301
1760028726869,theboxer000,first_to_second,151
1760028736019,theboxer000,start_to_first,251
1760028736176,theboxer000,first_to_second,156
1760028739783,theboxer000,start_to_first,151
1760028739978,theboxer000,first_to_second,195
1760028743866,theboxer000,start_to_first,237
1760028744068,theboxer000,first_to_second,202
1760028747229,theboxer000,start_to_first,259
1760028747429,theboxer000,first_to_second,200
1760028751321,theboxer000,start_to_first,253
1760028751472,theboxer000,first_to_second,151
1760028755718,theboxer000,start_to_first,252
1760028755869,theboxer000,first_to_second,151
1760028758829,theboxer000,start_to_first,254
1760028764376,theboxer000,start_to_first,356
1760028764576,theboxer000,first_to_second,200
1760028767514,theboxer000,start_to_first,236
1760028767718,theboxer000,first_to_second,204
1760028771127,theboxer000,start_to_first,106
1760028771331,theboxer000,first_to_second,203
1760028776028,theboxer000,start_to_first,151
1760028776213,theboxer000,first_to_second,185
1760028780079,theboxer000,start_to_first,302
1760028785569,theboxer000,start_to_first,255
1760028785777,theboxer000,first_to_second,207
1760028788921,theboxer000,start_to_first,202
1760028789123,theboxer000,first_to_second,203
1760028792565,theboxer000,first_to_second,151
1760028797723,theboxer000,start_to_first,340
1760028801517,theboxer000,first_to_second,145
1760028805666,theboxer000,start_to_first,253
1760028805868,theboxer000,first_to_second,202
1760028826569,theboxer000,start_to_first,151
1760028826721,theboxer000,first_to_second,152
1760028832078,theboxer000,first_to_second,199
1760028836413,theboxer000,start_to_first,287
1760028836565,theboxer000,first_to_second,151
1760028839878,theboxer000,first_to_second,207
1760028844775,theboxer000,start_to_first,304
1760028844926,theboxer000,first_to_second,151
1760028850520,theboxer000,start_to_first,200
1760028850722,theboxer000,first_to_second,203
1760028858175,theboxer000,start_to_first,204
1760028858375,theboxer000,first_to_second,199
1760028861171,theboxer000,start_to_first,202
1760028866769,theboxer000,start_to_first,250
1760028866972,theboxer000,first_to_second,202
1760028870813,theboxer000,start_to_first,35
1760028942313,theboxer000,start_to_first,250
1760028942515,theboxer000,first_to_second,201
1760028952764,theboxer000,start_to_first,251
1760028952917,theboxer000,first_to_second,153
1760028956131,theboxer000,start_to_first,208
1760028956323,theboxer000,first_to_second,193
1760028960567,theboxer000,start_to_first,104
1760028960771,theboxer000,first_to_second,204
1760028969818,theboxer000,first_to_second,152
1760028972471,theboxer000,start_to_first,100
1760028972672,theboxer000,first_to_second,201
1760028978416,theboxer000,start_to_first,100
1760028978619,theboxer000,first_to_second,203
1760028981815,theboxer000,start_to_first,237
1760028982015,theboxer000,first_to_second,201
1760028986416,theboxer000,start_to_first,101
1760028992320,theboxer000,start_to_first,251
1760028992520,theboxer000,first_to_second,201
1760028997776,theboxer000,start_to_first,302
1760028997978,theboxer000,first_to_second,203
1760029002224,theboxer000,start_to_first,201
1760029002375,theboxer000,first_to_second,151
1760029010678,theboxer000,start_to_first,153
1760029010827,theboxer000,first_to_second,150
1760029025166,theboxer000,start_to_first,252
1760029025317,theboxer000,first_to_second,152
1760029030068,theboxer000,start_to_first,303
1760029030219,theboxer000,first_to_second,151
1760029034313,theboxer000,start_to_first,84
1760029034464,theboxer000,first_to_second,151
1760029038326,theboxer000,start_to_first,53
1760029043078,theboxer000,start_to_first,101
1760029043230,theboxer000,first_to_second,152
1760029047769,theboxer000,first_to_second,150
1760029043020,theboxer000,start_to_first,2385
1760029043020,theboxer000,start_to_first,1724
1760029043020,theboxer000,start_to_first,1986
1760029043020,theboxer000,start_to_first,2035
1760029043020,theboxer000,start_to_first,2104

